season,Home,Away,score_diff,week_num
2024,BAL,KC,-7,1
2024,GB,PHI,5,1
2024,PIT,ATL,8,1
2024,ARI,BUF,-6,1
2024,TEN,CHI,-7,1
2024,NE,CIN,6,1
2024,HOU,IND,2,1
2024,JAX,MIA,-3,1
2024,CAR,NO,-37,1
2024,MIN,NYG,22,1
2024,LV,LAC,-12,1
2024,DEN,SEA,16,1
2024,WAS,TB,-17,1
2024,LA,DET,-6,1
2024,NYJ,SF,-13,1
2024,BUF,MIA,21,2
2024,LAC,CAR,23,2
2024,NO,DAL,25,2
2024,TB,DET,4,2
2024,IND,GB,-6,2
2024,DAL,CLE,16,1
2024,CLE,JAX,5,2
2024,SF,MIN,-6,2
2024,SEA,NE,3,2
2024,NYJ,TEN,7,2
2024,LV,BAL,3,2
2024,NYG,WAS,-3,2
2024,LA,ARI,-31,2
2024,PIT,DEN,7,2
2024,CIN,KC,-1,2
2024,CHI,HOU,-6,2
2024,ATL,PHI,1,2
2024,NE,NYJ,-21,3
2024,NYG,CLE,6,3
2024,CHI,IND,-5,3
2024,HOU,MIN,-27,3
2024,PHI,NO,3,3
2024,GB,TEN,16,3
2024,LAC,PIT,-10,3
2024,DEN,TB,19,3
2024,CAR,LV,14,3
2024,MIA,SEA,-21,3
2024,DET,ARI,7,3
2024,BAL,DAL,3,3
2024,SF,LA,-3,3
2024,KC,ATL,5,3
2024,JAX,BUF,-37,3
2024,WAS,CIN,5,3
2024,DAL,NYG,5,4
2024,NO,ATL,-2,4
2024,CIN,CAR,10,4
2024,LA,CHI,-6,4
2024,PIT,IND,-3,4
2024,MIN,GB,2,4
2024,JAX,HOU,-4,4
2024,DEN,NYJ,1,4
2024,PHI,TB,-17,4
2024,WAS,ARI,28,4
2024,NE,SF,-17,4
2024,CLE,LV,-4,4
2024,KC,LAC,7,4
2024,BUF,BAL,-25,4
2024,TEN,MIA,19,4
2024,SEA,DET,-13,4
2024,TB,ATL,-6,5
2024,NYJ,MIN,-6,5
2024,CAR,CHI,-26,5
2024,BAL,CIN,3,5
2024,MIA,NE,5,5
2024,CLE,WAS,-21,5
2024,IND,JAX,-3,5
2024,BUF,HOU,-3,5
2024,LV,DEN,-16,5
2024,ARI,SF,1,5
2024,GB,LA,5,5
2024,NYG,SEA,9,5
2024,DAL,PIT,3,5
2024,NO,KC,-13,5
2024,SF,SEA,12,6
2024,JAX,CHI,-19,6
2024,ARI,GB,-21,6
2024,IND,TEN,3,6
2024,HOU,NE,20,6
2024,TB,NO,24,6
2024,CLE,PHI,-4,6
2024,WAS,BAL,-7,6
2024,LAC,DEN,7,6
2024,PIT,LV,19,6
2024,DET,DAL,38,6
2024,ATL,CAR,18,6
2024,CIN,NYG,10,6
2024,BUF,NYJ,3,6
2024,DEN,NO,23,7
2024,NE,JAX,-16,7
2024,SEA,ATL,20,7
2024,TEN,BUF,-24,7
2024,CIN,CLE,7,7
2024,HOU,GB,-2,7
2024,MIA,IND,-6,7
2024,DET,MIN,2,7
2024,PHI,NYG,25,7
2024,LV,LA,-5,7
2024,CAR,WAS,-33,7
2024,KC,SF,10,7
2024,NYJ,PIT,-22,7
2024,BAL,TB,10,7
2024,LAC,ARI,-2,7
2024,MIN,LA,-10,8
2024,PHI,CIN,20,8
2024,BAL,CLE,-5,8
2024,TEN,DET,-38,8
2024,ARI,MIA,1,8
2024,NYJ,NE,-3,8
2024,ATL,TB,5,8
2024,GB,JAX,3,8
2024,IND,HOU,-3,8
2024,NO,LAC,-18,8
2024,BUF,SEA,21,8
2024,CAR,DEN,-14,8
2024,KC,LV,7,8
2024,CHI,WAS,-3,8
2024,DAL,SF,-6,8
2024,NYG,PIT,-8,8
2024,HOU,NYJ,-8,9
2024,DAL,ATL,-6,9
2024,MIA,BUF,-3,9
2024,LV,CIN,-17,9
2024,LAC,CLE,17,9
2024,NE,TEN,-3,9
2024,WAS,NYG,5,9
2024,NO,CAR,-1,9
2024,DEN,BAL,-31,9
2024,JAX,PHI,-5,9
2024,CHI,ARI,-20,9
2024,DET,GB,10,9
2024,LA,SEA,6,9
2024,IND,MIN,-8,9
2024,TB,KC,-6,9
2024,CIN,BAL,-1,10
2024,NYG,CAR,-3,10
2024,NE,CHI,16,10
2024,BUF,IND,10,10
2024,DEN,KC,-2,10
2024,ATL,NO,-3,10
2024,SF,TB,3,10
2024,PIT,WAS,1,10
2024,MIN,JAX,5,10
2024,TEN,LAC,-10,10
2024,PHI,DAL,28,10
2024,NYJ,ARI,-25,10
2024,DET,HOU,3,10
2024,MIA,LA,8,10
2024,WAS,PHI,-8,11
2024,GB,CHI,1,11
2024,JAX,DET,-46,11
2024,MIN,TEN,10,11
2024,LV,MIA,-15,11
2024,LA,NE,6,11
2024,CLE,NO,-21,11
2024,IND,NYJ,1,11
2024,BAL,PIT,-2,11
2024,ATL,DEN,-32,11
2024,SEA,SF,3,11
2024,KC,BUF,-9,11
2024,CIN,LAC,-7,11
2024,HOU,DAL,24,11
2024,PIT,CLE,-5,12
2024,MIN,CHI,3,12
2024,DET,IND,18,12
2024,NE,MIA,-19,12
2024,TB,NYG,23,12
2024,DAL,WAS,8,12
2024,KC,CAR,3,12
2024,TEN,HOU,5,12
2024,DEN,LV,10,12
2024,SF,GB,-28,12
2024,ARI,SEA,-10,12
2024,PHI,LA,17,12
2024,BAL,LAC,7,12
2024,CHI,DET,7,13
2024,NYG,DAL,-7,13
2024,MIA,GB,-13,13
2024,LV,KC,-2,13
2024,LAC,ATL,4,13
2024,PIT,CIN,6,13
2024,ARI,MIN,-1,13
2024,IND,NE,1,13
2024,SEA,NYJ,5,13
2024,TEN,WAS,-23,13
2024,HOU,JAX,3,13
2024,LA,NO,7,13
2024,TB,CAR,3,13
2024,PHI,BAL,5,13
2024,SF,BUF,-25,13
2024,CLE,DEN,-9,13
2024,GB,DET,-3,14
2024,JAX,TEN,4,14
2024,NYJ,MIA,-6,14
2024,ATL,MIN,-21,14
2024,NO,NYG,3,14
2024,CAR,PHI,-6,14
2024,CLE,PIT,-13,14
2024,LV,TB,-15,14
